id,fitnesses,complexity,z_descriptor
135675,21.38521241830065,100.0,0.15351957451807313
183963,25.61151960784313,100.0,0.13745126586963777
122268,27.597222222222225,100.0,0.09910698342845536
27685,25.57843137254901,100.0,0.12055308003478367
172310,22.765114379084967,100.0,0.150378795120639
176101,25.25122549019608,100.0,0.14434224835125228
120262,24.703839869281047,99.0,0.1259252998058896
51412,37.267565359477125,99.0,0.04566987442747894
140595,33.990604575163395,99.0,0.10685191611182066
27838,40.04779411764706,99.0,0.0755222209542453
70269,32.96895424836601,99.0,0.0872274204748913
85044,42.44117647058824,99.0,0.06756183918504956
165696,30.35539215686275,99.0,0.10911804416787416
60178,41.74264705882353,99.0,0.08397665506030727
187464,40.74346405228758,99.0,0.04990177391986223
154811,43.86478758169935,98.75,0.06202204333805501
104634,39.39133986928104,93.5,0.05641529064959792
161021,27.133986928104573,93.5,0.10707482275206011
149840,45.62745098039216,93.5,0.05120984042616125
82978,41.99918300653594,93.5,0.08419903701433515
19891,28.04330065359477,15.5,0.1303079826044274
11605,27.45588235294117,15.5,0.1488349833658329
147616,33.37173202614379,15.5,0.06954522389292266
65519,21.60130718954249,14.5,0.04
126539,21.48080065359477,9.0,0.13496941243103827
66219,21.979166666666668,9.0,0.14214580607975713
53183,23.177287581699343,9.0,0.09559118740908193
40892,32.91748366013072,8.5,0.07478365466086598
174664,22.544526143790847,8.5,0.1468737600725078
196868,25.22344771241829,8.5,0.1250198079114821
108157,25.889705882352946,8.5,0.08421850789744328
190742,26.888480392156858,8.5,0.12026650194876877
57658,26.237745098039216,8.5,0.10288253957696165
46971,23.523692810457515,8.5,0.04873847301004482
96893,29.54901960784313,8.5,0.06333888149388917
74785,23.55269607843137,8.5,0.15266334742891013
177157,24.26470588235294,8.25,0.08581448949352234
74255,30.62336601307189,8.25,0.11086376495425881
112315,22.82638888888889,8.0,0.05609021618799864
49022,23.899101307189543,8.0,0.04393603260757545
