genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 18.852578068264343},"{'white_gazing': 0.1308907038306321, 'distance': 0.5768024060770961}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 17.21132897603486},"{'white_gazing': 0.12960374325572296, 'distance': 0.17351206667967412}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01557244551523432}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01557244551523432}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 26.056644880174293},"{'white_gazing': 0.08812687016735607, 'distance': 0.2393352400773743}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.12989775362142875, 'distance': 0.573127497614223}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01557244551523432}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 35.744371822803195},"{'white_gazing': 0.178567294941816, 'distance': 1.2616831778184696}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01557244551523432}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.37763253449528},"{'white_gazing': 0.13428062047986714, 'distance': 0.559927424422374}",0
