genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.298118938139322e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [15,16])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.0763239536160582e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,13])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([2, 2], [12,14])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.3673289692510727e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.725490196078432},"{'trajectory': 0.0006466992124139469, 'white_gazing': 0.185769840536518}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058262346058928896, 'white_gazing': 0.09123496331697967}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.06796628940577833, 'white_gazing': 0.08206072610983071}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05988197228154019, 'white_gazing': 0.07881514110688084}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.06702331048623768, 'white_gazing': 0.08063131807813799}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,13])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.044223459805252704, 'white_gazing': 0.08514707281285139}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058262346058928896, 'white_gazing': 0.09123496331697967}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058262346058928896, 'white_gazing': 0.09123496331697967}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058262346058928896, 'white_gazing': 0.09123496331697967}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.725490196078432},"{'trajectory': 0.0004447665933461448, 'white_gazing': 0.18555479209578582}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.056139291030895704, 'white_gazing': 0.08396517370228383}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058262346058928896, 'white_gazing': 0.09123496331697967}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': -0.00039974491282016917, 'white_gazing': 0.18651737069270555}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.0004345428087349802, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.057575471747952314, 'white_gazing': 0.08148342621026206}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.470588235294116},"{'trajectory': 0.3519079879797539, 'white_gazing': 0.10701450797401546}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,17])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,13])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,13])}",{'brightness': 22.091503267973856},"{'trajectory': 0.07934938633382996, 'white_gazing': 0.1361914333542365}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [9,11])}",{'brightness': 100.30800000000004},"{'trajectory': -0.8557732315833498, 'white_gazing': 0.31912786284348577}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 100.0},"{'trajectory': -1.2372162463948513, 'white_gazing': 0.2733881446888035}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [11,12])}",{'brightness': 18.823529411764707},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.1873822175650069}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 35.62091503267973},"{'trajectory': -0.18102656463462832, 'white_gazing': 0.12230383339217947}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.186856994314816, 'white_gazing': 0.12245345716239987}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 21.307189542483663},"{'trajectory': 0.17923876021300386, 'white_gazing': 0.134733287302599}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.290766585151155e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 37.58169934640524},"{'trajectory': 0.3501236218200952, 'white_gazing': 0.13944421943360705}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 20.816993464052285},"{'trajectory': 1.1467389625057074, 'white_gazing': 0.1238913502155658}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 72.05882352941177},"{'trajectory': -0.9424892903800817, 'white_gazing': 0.16818079559962407}",0
