genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.14422075211902086}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 14.422657952069718},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.14422075211902086}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.771968046477852},"{'trajectory': 0.09150738789526013, 'white_gazing': 0.1561849920362768}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [12,15])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 14.39360929557008},"{'trajectory': 5.914868390216319e-16, 'white_gazing': 0.14393609295570045}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 20.087145969498906},"{'trajectory': 0.6525422477736021, 'white_gazing': 0.12636482680795358}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.14422075211902086}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.64923747276688},"{'trajectory': 0.5590794871450842, 'white_gazing': 0.1300919137058376}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 14.422657952069718},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.14422075211902086}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'trajectory': -5.990112867034275e-06, 'white_gazing': 0.14422075211902086}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.956427015250547},"{'trajectory': 0.5561309909162608, 'white_gazing': 0.1187947383779846}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 14.39360929557008},"{'trajectory': 3.559837156788148e-05, 'white_gazing': 0.14393609295570045}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 14.39360929557008},"{'trajectory': 3.559837156788148e-05, 'white_gazing': 0.14393609295570045}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'trajectory': 0.3688765573245627, 'white_gazing': 0.11160176992263635}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.610021786492375},"{'trajectory': -0.19298869948247377, 'white_gazing': 0.12243847882777097}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 20.087145969498906},"{'trajectory': 0.6525422477736021, 'white_gazing': 0.12636482680795358}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 20.34858387799564},"{'trajectory': 2, 'white_gazing': 0.13417958949047745}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 14.39360929557008},"{'trajectory': 5.914868390216319e-16, 'white_gazing': 0.14393609295570045}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 21.975308641975307},"{'trajectory': 0.2166190954924125, 'white_gazing': 0.12192374950660015}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 37.690631808278866},"{'trajectory': 1.2441981598963288, 'white_gazing': 0.12603793057263976}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'trajectory': -0.22077823638282904, 'white_gazing': 0.103137027959332}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.956427015250547},"{'trajectory': 0.5561309909162608, 'white_gazing': 0.1187947383779846}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.956427015250547},"{'trajectory': 0.5561309909162608, 'white_gazing': 0.1187947383779846}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 23.64560639070443},"{'trajectory': 0.6945197175189339, 'white_gazing': 0.13071842750384513}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 34.37908496732027},"{'trajectory': 0.973473475622435, 'white_gazing': 0.13579683274503168}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 17.21132897603486},"{'trajectory': 0.656931425922575, 'white_gazing': 0.10409834592718513}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.956427015250547},"{'trajectory': 0.5561309909162608, 'white_gazing': 0.1187947383779846}",0
