genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 22.734204793028322},"{'white_gazing': 0.1056148544252273, 'avg_speed': 0.17988122180573324}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 15.577342047930282},"{'white_gazing': 0.1000160669332034, 'avg_speed': 0.1579135748443264}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.66230936819172},"{'white_gazing': 0.12996416015351092, 'avg_speed': 0.13710389782839638}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.915032679738562},"{'white_gazing': 0.10504196935044559, 'avg_speed': 0.18641742608481904}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.66230936819172},"{'white_gazing': 0.12996416015351092, 'avg_speed': 0.13710389782839638}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 15.729847494553375},"{'white_gazing': 0.10955693594513699, 'avg_speed': 0.1462276523321568}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 33.1045751633987},"{'white_gazing': 0.1344880147011653, 'avg_speed': 0.06724824755459761}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 27.90849673202614},"{'white_gazing': 0.12500255023106413, 'avg_speed': 0.2456797588542923}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 12.331154684095859},"{'white_gazing': 0.1233115468409589, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.48366013071896},"{'white_gazing': 0.10789401850505224, 'avg_speed': 0.18443798887794957}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 27.90849673202614},"{'white_gazing': 0.12500255023106413, 'avg_speed': 0.2456797588542923}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.66230936819172},"{'white_gazing': 0.12996416015351092, 'avg_speed': 0.13710389782839638}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.161220043572985},"{'white_gazing': 0.10629221748752114, 'avg_speed': 0.14160305698685427}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 27.90849673202614},"{'white_gazing': 0.12500255023106413, 'avg_speed': 0.2456797588542923}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 27.59259259259259},"{'white_gazing': 0.12358802414946482, 'avg_speed': 0.2641414428892815}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 27.59259259259259},"{'white_gazing': 0.12358802414946482, 'avg_speed': 0.2641414428892815}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 16.623093681917208},"{'white_gazing': 0.11103247115520132, 'avg_speed': 0.15344320661566782}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.66230936819172},"{'white_gazing': 0.12996416015351092, 'avg_speed': 0.13710389782839638}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 42.047930283224396},"{'white_gazing': 0.2260201074634491, 'avg_speed': 0.203146560232305}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 93.56666666666582},"{'white_gazing': 0.2303325330403131, 'avg_speed': 0.2470967243584956}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 19.11764705882353},"{'white_gazing': 0.11025081839358376, 'avg_speed': 0.09805271341561415}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 15.642701525054465},"{'white_gazing': 0.10097651024709305, 'avg_speed': 0.14295807931980395}",0
