genome,fitnesses,descriptors,eval_time
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.620188816267245},"{'white_gazing': 0.11151558265219144, 'distance': 0.15241303729585662}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 21.510530137981117},"{'white_gazing': 0.12246215410763195, 'distance': 1.8231697171658876}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.85257806826434},"{'white_gazing': 0.11308587758759218, 'distance': 0.8239482429270086}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 17.109658678286127},"{'white_gazing': 0.10268192801205711, 'distance': 0.8368940560283645}",0
"{VisionData(w=2, h=2), CPPN:8:3([1, 1], [10,13])}",{'brightness': 14.39360929557008},"{'white_gazing': 0.14393609295570045, 'distance': 0.0006212993661369273}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.1216137636598448, 'distance': 0.7539282837239725}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.12552746154348415, 'distance': 2.2203289194953713}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 23.09368191721133},"{'white_gazing': 0.12475553428876403, 'distance': 0.5033136719217304}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09523101582569692, 'distance': 0.19022358153149027}",0
"{VisionData(w=2, h=2), CPPN:8:3([1, 1], [10,13])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.12552746154348415, 'distance': 2.2203289194953713}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [8,11])}",{'brightness': 31.08206245461147},"{'white_gazing': 0.14441816140815372, 'distance': 1.4818438312988464}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [8,11])}",{'brightness': 21.931735657225847},"{'white_gazing': 0.13891701669801276, 'distance': 2.717727673454746}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 22.672476397966598},"{'white_gazing': 0.11084279251433807, 'distance': 0.4160686612267106}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.259259259259256},"{'white_gazing': 0.09453013180686516, 'distance': 0.1187146034926837}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 30.73347857661583},"{'white_gazing': 0.14026675382454765, 'distance': 1.394278424145466}",0
"{VisionData(w=2, h=2), CPPN:8:3([1, 1], [12,13])}",{'brightness': 19.259259259259256},"{'white_gazing': 0.09453013180686516, 'distance': 0.1187146034926837}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.12552746154348415, 'distance': 2.2203289194953713}",0
"{VisionData(w=2, h=2), CPPN:8:3([1, 1], [10,13])}",{'brightness': 100.82999999999974},"{'white_gazing': 0.5260591259174942, 'distance': 3.805082890808577}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 56.55773420479303},"{'white_gazing': 0.17889038734860416, 'distance': 3.7765670056459597}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.12552746154348415, 'distance': 2.2203289194953713}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09472234914362786, 'distance': 0.12118899097472828}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 19.128540305010894},"{'white_gazing': 0.1277270240767494, 'distance': 2.2342623856804744}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,12])}",{'brightness': 21.00217864923747},"{'white_gazing': 0.1263236188883431, 'distance': 4.856305508978281}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 24.57516339869281},"{'white_gazing': 0.12582194717652526, 'distance': 0.44759442832118107}",0
