genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05817003314484681, 'white_gazing': 0.0912977003146936}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05817003314484681, 'white_gazing': 0.0912977003146936}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.00046050192236931064, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': 0.0002850385746709542, 'white_gazing': 0.18748012893480717}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.058685823144907376, 'white_gazing': 0.0808687360938948}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.06738357088702737, 'white_gazing': 0.09029482682830782}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.1767592484378453, 'white_gazing': 0.12265873814785078}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 31.60130718954248},"{'trajectory': 1.0000059308125746, 'white_gazing': 0.14593781822403692}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': 0.00046050192236931064, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.283442411910507e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.283442411910507e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05817003314484681, 'white_gazing': 0.0912977003146936}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': -0.0006383351029647557, 'white_gazing': 0.18790861710255397}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.06928492256373409, 'white_gazing': 0.07995247941379216}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.06832495530640192, 'white_gazing': 0.08138852248369027}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 28.692810457516337},"{'trajectory': 1.1767592484378453, 'white_gazing': 0.12265873814785078}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.283442411910507e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,13])}",{'brightness': 18.823529411764707},"{'trajectory': 0.00046050192236931064, 'white_gazing': 0.1865545364419336}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05817003314484681, 'white_gazing': 0.0912977003146936}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.1767592484378453, 'white_gazing': 0.12265873814785078}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,15])}",{'brightness': 12.450980392156863},"{'trajectory': -1.283442411910507e-05, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.05817003314484681, 'white_gazing': 0.0912977003146936}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.11764705882353},"{'trajectory': 0.056041450917663944, 'white_gazing': 0.08235958790295783}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 28.692810457516337},"{'trajectory': 1.1767592484378453, 'white_gazing': 0.12265873814785078}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 31.60130718954248},"{'trajectory': 1.0000059308125746, 'white_gazing': 0.14593781822403692}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 31.60130718954248},"{'trajectory': 1.0000059308125746, 'white_gazing': 0.14593781822403692}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 31.60130718954248},"{'trajectory': 1.0000059308125746, 'white_gazing': 0.14593781822403692}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.725490196078432},"{'trajectory': 0.0005670449635250662, 'white_gazing': 0.185769840536518}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 19.052287581699346},"{'trajectory': -0.47411101490237156, 'white_gazing': 0.10150040338138853}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': 0.0002850385746709542, 'white_gazing': 0.18748012893480717}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': -0.0006383351029647557, 'white_gazing': 0.18790861710255397}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': 0.0002850385746709542, 'white_gazing': 0.18748012893480717}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 20.555555555555554},"{'trajectory': -0.1978085067030052, 'white_gazing': 0.12027847390863804}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.823529411764707},"{'trajectory': -0.00022414017551570798, 'white_gazing': 0.18651737069270555}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': -0.0006383351029647557, 'white_gazing': 0.18790861710255397}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 18.92156862745098},"{'trajectory': 0.0002850385746709542, 'white_gazing': 0.18748012893480717}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 26.47058823529412},"{'trajectory': -0.5705454732825701, 'white_gazing': 0.1274836484069222}",0
