id,parents,fitnesses,complexity,z_descriptor,genome
118880,[75090],29.44607843137255,16.0,0.06893737810371794,"{'nodes': [(11, 'abs')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4552898108959198), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9260748624801636), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 3, 8, 0.5286842584609985), (19, 0, 11, 1.0), (20, 11, 10, 0.276402086019516)], 'NID': 1, 'LID': 21, '_id': 118880, '_parents': [75090]}"
119300,[43984],29.585375816993466,16.0,0.13743383980732227,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.46366509795188904), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9647805690765381), (15, 7, 8, -0.9281296730041504), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 119300, '_parents': [43984]}"
126539,[53183],21.48080065359477,9.0,0.13496941243103827,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8415277004241943), (4, 1, 10, 0.9080839157104492), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4391447901725769), (13, 6, 9, -0.36266249418258667), (14, 6, 10, 0.9244939684867859), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2631241977214813)], 'NID': 2, 'LID': 21, '_id': 126539, '_parents': [53183]}"
127430,[71469],37.89133986928105,16.0,0.12148291389487367,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8622692823410034), (4, 1, 10, 0.8996952176094055), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9492394924163818), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 127430, '_parents': [71469]}"
153376,[113030],28.852124183006534,15.75,0.07793741730858056,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.27743467688560486), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09276043623685837), (11, 5, 10, 0.1875171661376953), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9281296730041504), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 153376, '_parents': [113030]}"
156855,[50684],33.08292483660131,15.75,0.11775162924979467,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4564366936683655), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9318420886993408), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 156855, '_parents': [50684]}"
157937,[22582],37.86111111111112,16.0,0.1105248590553027,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8403938412666321), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4552898108959198), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9260748624801636), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 157937, '_parents': [22582]}"
158084,[22582],29.679738562091504,16.0,0.10553470292778491,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4569726288318634), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4552898108959198), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9260748624801636), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 158084, '_parents': [22582]}"
164668,[93459],35.709150326797385,16.0,0.07008597644206599,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.2739974856376648), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9081798791885376), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 0, 8, 0.4578697085380554)], 'NID': 0, 'LID': 19, '_id': 164668, '_parents': [93459]}"
174664,[40892],22.544526143790847,8.5,0.1468737600725078,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8520596027374268), (4, 1, 10, 0.9028505682945251), (5, 2, 8, 0.4774898290634155), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9257692694664001), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2766072750091553), (21, 7, 10, 0.2611054480075836)], 'NID': 2, 'LID': 22, '_id': 174664, '_parents': [40892]}"
177157,[71205],24.26470588235294,8.25,0.08581448949352234,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.7897751331329346), (2, 1, 8, 0.8520596027374268), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.49072545766830444), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9257692694664001), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.25915825366973877), (21, 7, 10, 0.2624273896217346)], 'NID': 2, 'LID': 22, '_id': 177157, '_parents': [71205]}"
179861,[161413],28.702614379084963,16.0,0.05342306658659961,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.27395978569984436), (2, 1, 8, 0.8612406849861145), (4, 1, 10, 0.8996952176094055), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 179861, '_parents': [161413]}"
187367,[147616],40.93995098039216,15.75,0.11468276748599424,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.2721019983291626), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.9006592631340027), (6, 2, 9, -0.5110251307487488), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7364447116851807), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 187367, '_parents': [147616]}"
190742,[108157],26.888480392156858,8.5,0.12026650194876877,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8484180569648743), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4774898290634155), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9257692694664001), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 0.9997819662094116), (20, 12, 10, 0.2766072750091553), (21, 7, 10, 0.2611054480075836)], 'NID': 2, 'LID': 22, '_id': 190742, '_parents': [108157]}"
193938,[161413],26.39950980392156,16.0,0.13769269862904898,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.27395978569984436), (2, 1, 8, 0.8559027910232544), (4, 1, 10, 0.8895974159240723), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 193938, '_parents': [161413]}"
195127,[113030],31.43709150326797,15.75,0.0731454061915246,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.27743467688560486), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4513705372810364), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09276043623685837), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.46366509795188904), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9281296730041504), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 195127, '_parents': [113030]}"
196724,[179781],40.73651960784314,16.0,0.061209410521286145,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.27395978569984436), (2, 1, 8, 0.8559027910232544), (4, 1, 10, 0.8996952176094055), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.42778879404067993), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9742616415023804), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 196724, '_parents': [179781]}"
196868,[57658],25.22344771241829,8.5,0.1250198079114821,"{'nodes': [(11, 'abs'), (12, 'bsgm')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8520596027374268), (4, 1, 10, 0.9121289849281311), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9277574419975281), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2631241977214813), (21, 7, 10, 0.2611054480075836)], 'NID': 2, 'LID': 22, '_id': 196868, '_parents': [57658]}"
