id,fitnesses,edges,z_peaks_avg
41184,33.16625816993464,100.0,0.14112359275185193
149980,20.700980392156865,100.0,0.046056951743124686
133650,21.4297385620915,100.0,0.05835914636338737
54299,21.36315359477124,100.0,0.14581245843024965
172793,68.29248366013071,95.33333333333333,0.11786275027585388
169033,30.56617647058824,95.33333333333333,0.06727764078288545
117657,44.30106209150327,94.66666666666667,0.07619947136760627
123988,63.69485294117647,94.66666666666667,0.10645560787548455
142980,60.44934640522875,94.66666666666667,0.0922827529695463
141532,73.51633986928104,94.66666666666667,0.13058695983494067
164508,21.112745098039213,9.333333333333334,0.06084083364978375
7660,21.125816993464053,9.333333333333334,0.07484600219825784
151705,26.267156862745097,9.333333333333334,0.09504904231571341
71340,20.99346405228758,8.333333333333334,0.04921591649566366
187427,28.507352941176467,4.0,0.10422968090900572
175513,30.0531045751634,4.0,0.12160867436884812
166963,17.03717320261438,4.0,0.1346820569560139
191860,24.87908496732026,4.0,0.11469887906341585
142956,21.287581699346404,4.0,0.05108464247907252
175921,20.633986928104576,4.0,0.12523299660014853
