id,fitnesses,edges,z_descriptor
166568,27.037581699346404,48.0,0.19
164610,18.008986928104573,27.666666666666668,0.19
140734,25.92442810457516,63.333333333333336,0.1883059409409933
149150,19.199754901960784,9.666666666666666,0.1874805709291785
167863,21.459150326797385,44.666666666666664,0.18631850036045117
155653,19.59803921568627,56.0,0.1861781552752521
180919,25.794934640522875,64.0,0.18571489312618256
135281,19.197303921568626,79.66666666666667,0.18484728535830414
199589,18.704248366013072,84.0,0.18426700977780322
78645,18.465686274509803,100.0,0.18219914523845562
33890,20.4015522875817,12.0,0.04609466385557255
73829,19.588235294117645,58.333333333333336,0.044859635055674606
66292,19.952614379084967,9.0,0.044768430486262514
107042,20.76960784313725,100.0,0.044337495621716516
174186,20.539215686274503,39.0,0.04409844062038993
174096,20.807189542483663,64.0,0.04401650066164845
102132,20.94321895424837,32.0,0.04243113304975814
24215,19.17361111111111,78.33333333333333,0.042382822254662146
66497,19.318627450980397,91.0,0.04
182603,20.16176470588235,26.666666666666668,0.04
