id,fitnesses,complexity,max_density_z_coord
133,16.38562091503268,100.0,0.06347360235328861
179,18.044117647058822,88.33333333333333,0.04
169,18.044117647058822,87.66666666666667,0.04
194,16.15686274509804,77.66666666666667,0.0792309012075857
128,18.24346405228758,76.0,0.05556849633116268
125,17.92687908496732,76.0,0.06707715603994023
196,18.23856209150327,73.33333333333333,0.04609535529482008
183,16.18300653594771,65.0,0.10828729387259671
161,16.17156862745098,64.0,0.06547702799761267
35,18.08823529411765,64.0,0.04
63,18.745098039215687,21.333333333333332,0.04
45,18.74591503267974,18.666666666666668,0.09457000956246743
164,19.72263071895425,18.666666666666668,0.08062779858725756
114,20.04248366013072,18.666666666666668,0.05984038980890606
68,16.048202614379083,18.666666666666668,0.07519332946887677
26,17.647058823529413,18.666666666666668,0.05517277356547585
94,18.988562091503265,17.333333333333332,0.09728682295223087
3,18.46895424836601,10.0,0.05142554361818788
176,18.745098039215687,10.0,0.04
39,18.72058823529412,4.0,0.04
