genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 18.823529411764707},"{'trajectory': 0.030055970806989147, 'white_gazing': 0.1670218983075722}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 33.72549019607843},"{'trajectory': -0.3886504353741266, 'white_gazing': 0.10252964919633459}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.098039215686274},"{'trajectory': -0.3643006631136058, 'white_gazing': 0.09743384353810146}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.6140177027860095, 'white_gazing': 0.09464091237196588}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.96732026143791},"{'trajectory': 1.0934458025476534, 'white_gazing': 0.10823592920364297}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 23.692810457516337},"{'trajectory': 0.8378737450530481, 'white_gazing': 0.09813309984501217}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 33.72549019607843},"{'trajectory': -0.3886504353741266, 'white_gazing': 0.10252964919633459}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 33.72549019607843},"{'trajectory': -0.3886504353741266, 'white_gazing': 0.10252964919633459}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 23.823529411764703},"{'trajectory': 0.8642688082917361, 'white_gazing': 0.11759110680797798}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 19.96732026143791},"{'trajectory': 1.0934458025476534, 'white_gazing': 0.10823592920364297}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 19.96732026143791},"{'trajectory': 1.0934458025476534, 'white_gazing': 0.10823592920364297}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 26.078431372549023},"{'trajectory': -1.5587878447004062, 'white_gazing': 0.12246846863427606}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.6140177027860095, 'white_gazing': 0.09464091237196588}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 19.11764705882353},"{'trajectory': 0.5694373945857963, 'white_gazing': 0.09685129065512305}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.20915032679739},"{'trajectory': -0.8248864292355168, 'white_gazing': 0.10679034289729676}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.6140177027860095, 'white_gazing': 0.09464091237196588}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 30.588235294117645},"{'trajectory': 0.3903314939565569, 'white_gazing': 0.11427866726286572}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 23.594771241830063},"{'trajectory': 1.6643141964530788, 'white_gazing': 0.1176839521706881}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.96732026143791},"{'trajectory': 1.0934458025476534, 'white_gazing': 0.10823592920364297}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.6140177027860095, 'white_gazing': 0.09464091237196588}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.215686274509803},"{'trajectory': -0.5009793250268152, 'white_gazing': 0.10289430740959842}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,16])}",{'brightness': 12.450980392156863},"{'trajectory': 0.0003803005758996576, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 22.77777777777778},"{'trajectory': -0.938101457855106, 'white_gazing': 0.12415705273371562}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 22.450980392156865},"{'trajectory': -0.699951080316619, 'white_gazing': 0.10076320615484995}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 24.73856209150327},"{'trajectory': 0.5564562169085384, 'white_gazing': 0.12811986266106618}",0
