id,fitnesses,edges,z_descriptor
102795,25.35988562091503,100.0,0.11536284642921082
107297,27.42483660130719,100.0,0.061728530287447736
53329,20.31372549019608,100.0,0.14731504146921723
50823,19.883986928104576,100.0,0.17845053257113616
42624,19.40196078431373,100.0,0.15500729373374952
107042,20.76960784313725,100.0,0.044337495621716516
198844,26.626633986928105,100.0,0.11080502840676357
181086,27.11151960784314,100.0,0.055888621045325125
187982,20.344771241830063,100.0,0.13248694410917872
118537,27.18096405228758,100.0,0.10273857902087438
195720,31.374183006535947,8.333333333333334,0.06229888751931556
116690,30.3843954248366,8.333333333333334,0.10427972264356344
168885,25.59558823529412,8.333333333333334,0.11904234382847123
180016,25.712418300653592,8.333333333333334,0.07712292638148614
185494,26.07802287581699,8.333333333333334,0.14477640387540255
197944,36.97222222222222,8.333333333333334,0.0833779272702292
179973,34.677287581699346,8.333333333333334,0.09300203333572962
169599,29.93504901960784,8.333333333333334,0.13344649216816695
68623,25.26348039215686,7.666666666666667,0.1148900090259941
120938,25.92769607843137,6.0,0.05721176595498416
