Avg,Std,Max,QDs
18.098039215686274,0.0,18.098039215686274,18.098039215686274
18.399509803921568,0.30147058823529527,18.700980392156865,36.799019607843135
18.040849673202615,0.563794160826418,18.700980392156865,54.122549019607845
18.175245098039216,0.5409106048946581,18.700980392156865,72.70098039215686
17.943545751633987,0.6699296787637079,18.700980392156865,89.71772875816994
17.943545751633987,0.6699296787637079,18.700980392156865,89.71772875816994
17.96520969498911,0.6134748929517599,18.700980392156865,107.79125816993465
17.74609010270775,0.781452062874718,18.700980392156865,124.22263071895426
17.74609010270775,0.781452062874718,18.700980392156865,124.22263071895426
17.749591503267972,0.7857657362059701,18.725490196078432,124.24714052287581
17.749591503267972,0.7857657362059701,18.725490196078432,124.24714052287581
17.571027369281047,0.8737536081736131,18.725490196078432,140.56821895424835
17.571027369281047,0.8737536081736131,18.725490196078432,140.56821895424835
17.372503631082065,0.9969511029814382,18.725490196078432,156.35253267973854
17.372503631082065,0.9969511029814382,18.725490196078432,156.35253267973854
17.372503631082065,0.9969511029814382,18.725490196078432,156.35253267973854
17.372503631082065,0.9969511029814382,18.725490196078432,156.35253267973854
17.372503631082065,0.9969511029814382,18.725490196078432,156.35253267973854
17.5078022875817,1.0292093516956482,18.725490196078432,175.07802287581697
17.5078022875817,1.0292093516956482,18.725490196078432,175.07802287581697
