id,fitnesses,complexity,max_density_z_coord
111,18.000816993464053,100.0,0.07145607874836142
153,18.676470588235293,100.0,0.04
126,18.5984477124183,94.5,0.0988837851662312
97,18.805555555555557,94.25,0.060012268354947634
132,18.676470588235293,93.0,0.04
127,16.75816993464052,92.5,0.05868139348836342
52,18.676470588235293,85.5,0.04
184,18.676470588235293,77.0,0.04
112,18.676470588235293,72.0,0.04
135,18.676470588235293,68.5,0.04
139,18.22630718954248,19.0,0.07378493349330104
47,18.767973856209156,17.5,0.051186550590677546
44,18.9109477124183,16.5,0.08690880016596801
33,18.71078431372549,16.5,0.04
167,17.412581699346404,12.75,0.055222919577654885
131,17.947712418300654,12.0,0.09364302635540622
130,18.74183006535948,12.0,0.07903556548863926
155,16.003676470588236,12.0,0.06163613820374317
7,18.676470588235293,10.5,0.04
55,18.725490196078432,4.75,0.04
