id,fitnesses,complexity,max_density_z_coord
183,16.18300653594771,65.0,0.10828729387259671
175,16.985702614379086,37.333333333333336,0.10620496556429597
109,16.791666666666664,62.666666666666664,0.10130174079060182
79,17.948937908496735,53.333333333333336,0.09941387209377806
52,19.272875816993466,34.666666666666664,0.0987954219885543
56,16.5718954248366,40.0,0.09755511818701705
92,19.119689542483652,32.0,0.09731416734311199
94,18.988562091503265,17.333333333333332,0.09728682295223087
99,18.91625816993464,23.333333333333332,0.09678531394250277
8,15.967728758169937,37.333333333333336,0.0953435877284774
196,18.23856209150327,73.33333333333333,0.04609535529482008
6,20.508169934640524,23.333333333333332,0.04
179,18.044117647058822,88.33333333333333,0.04
35,18.08823529411765,64.0,0.04
138,18.61764705882353,37.333333333333336,0.04
32,18.72058823529412,32.0,0.04
39,18.72058823529412,4.0,0.04
63,18.745098039215687,21.333333333333332,0.04
176,18.745098039215687,10.0,0.04
169,18.044117647058822,87.66666666666667,0.04
