id,fitnesses,edges,z_peaks_avg
176816,53.89133986928105,84.0,0.1616866153668405
116907,44.16625816993464,75.33333333333333,0.15640726536606323
66885,16.12091503267974,36.666666666666664,0.1552647743504125
108784,15.170751633986928,31.0,0.15344155743656102
147795,57.92892156862746,66.66666666666667,0.15319999238411547
46076,15.070261437908496,27.333333333333332,0.1529296588577938
114125,15.0890522875817,25.333333333333332,0.1492120041494588
177645,58.399509803921575,75.33333333333333,0.1485494529522246
199005,16.25653594771242,36.666666666666664,0.14847719540227758
148217,55.248366013071895,60.666666666666664,0.14760262836357557
8507,21.014705882352946,20.666666666666668,0.04852526565737975
168505,21.0718954248366,24.0,0.04832101530275765
180262,20.352941176470587,58.666666666666664,0.048187875829377766
183832,20.851307189542485,38.333333333333336,0.04810482598497413
183877,20.851307189542485,45.0,0.04810482598497413
157086,20.254901960784316,55.333333333333336,0.04802502785644475
149980,20.700980392156865,100.0,0.046056951743124686
43975,19.927287581699343,64.0,0.045151183331930377
154175,20.473856209150327,74.66666666666667,0.041681186761820664
183124,20.397058823529413,32.0,0.04
