genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01620254709199385}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 32.795933188090046},"{'white_gazing': 0.13378667415067766, 'distance': 0.9589245866440986}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,13])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.570806100217865},"{'white_gazing': 0.10880150832951827, 'distance': 0.9222545621176993}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 14.422657952069718},"{'white_gazing': 0.14422075211902086, 'distance': 2.5124234636193035e-07}",0
"{VisionData(w=0, h=0), CPPN:8:3([2, 2], [14,16])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1030619254941514}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.08978683172989431, 'distance': 1.157808135165798}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 24.241103848946985},"{'white_gazing': 0.11075480890237843, 'distance': 0.5189183139335827}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01620254709199385}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01620254709199385}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.01620254709199385}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 30.58823529411764},"{'white_gazing': 0.12169946869027724, 'distance': 0.5580136907930493}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 15.875090777051561},"{'white_gazing': 0.10139161417051896, 'distance': 0.7245200329509736}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.570806100217865},"{'white_gazing': 0.10880150832951827, 'distance': 0.9222545621176993}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [12,15])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [12,15])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6075538745128946}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 31.851851851851855},"{'white_gazing': 0.1359318282198213, 'distance': 0.27814485352110196}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 19.593318809005083},"{'white_gazing': 0.09355308594573983, 'distance': 0.5851644984653378}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.896151053013796},"{'white_gazing': 0.11203724667215298, 'distance': 0.8880346166209673}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.570806100217865},"{'white_gazing': 0.10880150832951827, 'distance': 0.9222545621176993}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.570806100217865},"{'white_gazing': 0.10880150832951827, 'distance': 0.9222545621176993}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1030619254941514}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.570806100217865},"{'white_gazing': 0.10880150832951827, 'distance': 0.9222545621176993}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1030619254941514}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.47276688453159},"{'white_gazing': 0.1079026804875746, 'distance': 0.5912204913448765}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 22.440087145969496},"{'white_gazing': 0.1166741157301177, 'distance': 0.2933728740535897}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 31.851851851851855},"{'white_gazing': 0.1359318282198213, 'distance': 0.27814485352110196}",0
