id,fitnesses,descriptors
34,26.50326797385621,"{'distance': 1.334248012570888, 'white_gazing': 0.12106364857606135}"
70,23.05555555555555,"{'distance': 0.4066949220873011, 'white_gazing': 0.15940089368926422}"
45,21.59313725490196,"{'distance': 1.1327418676848953, 'white_gazing': 0.12297322956001563}"
69,20.31862745098039,"{'distance': 1.5553654747750327, 'white_gazing': 0.11723621330613374}"
74,19.942810457516337,"{'distance': 2.489071543722633, 'white_gazing': 0.1226309298735157}"
68,18.80718954248366,"{'distance': 1.5245846383004666, 'white_gazing': 0.11541568327851028}"
61,18.61111111111111,"{'distance': 1.2132292127170496, 'white_gazing': 0.10180712710362798}"
62,17.22222222222222,"{'distance': 0.8546200775551112, 'white_gazing': 0.10433038955765543}"
58,16.977124183006534,"{'distance': 2.481233674189545, 'white_gazing': 0.1177982198812163}"
