id,fitnesses,complexity,z_descriptor
147396,32.88235294117647,39.0,0.16
149194,37.94117647058823,48.5,0.16
136180,39.654003267973856,41.0,0.16
117675,23.12295751633987,24.0,0.16
153978,23.35620915032679,20.75,0.1583629674916448
37209,23.585784313725487,91.75,0.15642743948780036
50684,27.40767973856209,15.75,0.156165779938659
198418,23.000816993464053,66.25,0.1548037466024809
153341,26.924428104575163,58.5,0.15369619568739104
190868,22.58169934640522,52.75,0.1536741928978708
135675,21.38521241830065,100.0,0.15351957451807313
194544,25.45547385620915,32.25,0.15329708782009127
175396,19.28308823529412,86.0,0.15319746283891322
170156,20.64624183006536,77.5,0.15267444837389782
74785,23.55269607843137,8.5,0.15266334742891013
38232,19.165441176470583,75.75,0.1526564544566295
181177,21.633169934640524,58.5,0.15199694022577478
115889,52.68995098039216,48.5,0.1513434864325573
172310,22.765114379084967,100.0,0.150378795120639
198933,24.298202614379083,92.75,0.15036413028737006
187464,40.74346405228758,99.0,0.04990177391986223
186388,52.87009803921568,64.25,0.04950231901073511
46971,23.523692810457515,8.5,0.04873847301004482
193456,33.87867647058823,49.5,0.04852377871718679
176356,61.43096405228758,70.0,0.04712217038298277
128924,42.93218954248367,81.5,0.04689568405060314
189975,34.45547385620915,37.75,0.04679868681271951
193369,36.71200980392157,48.75,0.04677085775751478
126235,27.869281045751634,62.5,0.04677000365976956
59396,41.57924836601307,93.5,0.04661106687042829
196434,34.995098039215684,87.0,0.04622183963007444
121793,40.880718954248366,64.25,0.04582307307721987
51412,37.267565359477125,99.0,0.04566987442747894
199399,35.286764705882355,55.75,0.04491929970456475
198105,34.076797385620914,31.75,0.04414356351829033
49022,23.899101307189543,8.0,0.04393603260757545
184605,34.337826797385624,43.25,0.04366775445195831
193567,21.907271241830063,18.5,0.043451337975238334
146599,30.079248366013072,24.5,0.04068280671220809
65519,21.60130718954249,14.5,0.04
